股票代码,名称,流通市值,市值分位
2979,雷赛智能,147.06,2
300592,华凯易佰,64.44,1
603898,好莱客,45.85,1
600184,光电股份,127.91,2
1365,天海电子,28.75,1
688221,前沿生物-U,102.26,2
688485,九州一轨,46.27,1
767,晋控电力,101.05,2
688277,天智航-U,86.01,1
738,航发控制,236.21,2
300144,宋城演艺,153.86,2
925,众合科技,56.58,1
300677,英科医疗,214.18,2
688595,芯海科技,58.3,1
990,诚志股份,106.33,2
600066,宇通客车,628.76,3
2271,东方雨虹,220.17,2
601818,光大银行,1420.05,4
300321,同大股份,41.79,1
600143,金发科技,400.76,2
300004,南风股份,44.88,1
26,飞亚达,71.24,1
600383,金地集团,101.13,2
301050,雷电微力,72.75,1
300145,南方泵业,118.47,2
2080,中材科技,1189.62,4
688306,均普智能,124.06,2
300896,爱美客,182.88,2
2787,华源控股,67.4,1
601766,中国中车,1338.03,4
300226,上海钢联,59.2,1
600758,辽宁能源,40.55,1
2895,川恒股份,171.17,2
600975,新五丰,64.61,1
2470,金正大,63.41,1
300428,立中集团,106.04,2
300398,飞凯材料,265.04,2
301590,优优绿能,24.25,1
2311,海大集团,741.9,3
603766,隆鑫通用,243.34,2
300606,金太阳,41.16,1
300895,铜牛信息,72.13,1
301,东方盛虹,829.35,3
688039,当虹科技,45.52,1
301285,鸿日达,212.87,2
688677,海泰新光,104.99,2
600480,凌云股份,106.76,2
300337,银邦股份,79.75,1
688758,赛分科技,63.27,1
2828,贝肯能源,27.09,1
688698,伟创电气,117.05,2
88,盐 田 港,133.47,2
600606,绿地控股,178.49,2
600575,淮河能源,123.58,2
688757,胜科纳米,92.35,2
603305,旭升集团,139.49,2
301117,佳缘科技,23.51,1
688049,炬芯科技,78.39,1
2167,东方锆业,149.09,2
300191,潜能恒信,58.0,1
600642,申能股份,434.08,2
603220,中贝通信,89.5,1
605222,起帆电缆,86.3,1
300590,移为通信,53.6,1
300724,捷佳伟创,185.37,2
3001,中岩大地,16.25,1
603578,三星新材,24.11,1
603519,立霸股份,39.2,1
600019,宝钢股份,1173.49,4
603317,天味食品,147.1,2
603156,养元饮品,577.21,3
603040,新坐标,125.26,2
300660,江苏雷利,167.77,2
688028,沃尔德,199.25,2
600133,东湖高新,84.55,1
300015,爱尔眼科,664.42,3
301280,珠城科技,47.98,1
300436,广生堂,134.52,2
603843,*ST正平,45.41,1
688312,燕麦科技,94.07,2
688035,德邦科技,125.88,2
301328,维峰电子,81.23,1
688131,皓元医药,187.26,2
922,佳电股份,85.72,1
688270,ST臻镭,286.58,2
600521,华海药业,252.14,2
300656,民德电子,44.36,1
601058,赛轮轮胎,409.04,2
688046,药康生物,104.39,2
300400,劲拓股份,74.14,1
543,皖能电力,173.42,2
600769,祥龙电业,66.07,1
759,中百集团,43.67,1
2146,荣盛发展,43.42,1
601298,青岛港,436.76,2
600973,宝胜股份,85.98,1
2774,快意电梯,44.8,1
2728,特一药业,47.93,1
603177,德创环保,17.66,1
966,长源电力,131.58,2
600032,浙江新能,159.91,2
600979,广安爱众,46.94,1
601965,中国汽研,127.9,2
600310,广西能源,58.19,1
688811,有研复材,26.78,1
301421,波长光电,48.13,1
600886,国投电力,1023.46,4
302132,中航成飞,334.65,2
600361,创新新材,128.78,2
300003,乐普医疗,194.21,2
600351,亚宝药业,43.32,1
301070,开勒股份,74.08,1
688796,百奥赛图,43.39,1
2969,嘉美包装,144.9,2
829,天音控股,81.21,1
601992,金隅集团,116.68,2
603298,杭叉集团,327.06,2
2421,达实智能,63.11,1
838,*ST发展,23.29,1
2524,光正眼科,19.31,1
300766,每日互动,76.96,1
301235,华康洁净,47.25,1
688305,科德数控,88.89,1
600298,安琪酵母,313.12,2
600085,同仁堂,324.76,2
600282,南钢股份,286.06,2
2605,姚记科技,69.03,1
600731,湖南海利,29.96,1
601808,中海油服,334.24,2
2629,仁智股份,16.52,1
301568,思泰克,44.51,1
603859,能科科技,111.73,2
688556,高测股份,89.72,1
301566,达利凯普,58.03,1
300715,凯伦股份,47.54,1
300693,盛弘股份,108.89,2
300252,金信诺,79.62,1
2292,奥飞娱乐,78.78,1
301317,鑫磊股份,32.36,1
300801,泰和科技,35.59,1
2718,友邦吊顶,97.77,2
300825,阿尔特,57.8,1
688585,上纬新材,576.81,3
603757,大元泵业,144.63,2
2170,芭田股份,84.3,1
2555,三七互娱,304.46,2
601669,XD中国电,609.13,3
300998,宁波方正,30.34,1
300626,华瑞股份,57.39,1
688260,昀冢科技,118.66,2
601018,宁波港,638.1,3
688788,科思科技,91.72,2
90,天健集团,60.72,1
